fecha;precio
14/06/2023;4186.3
15/06/2023;4182.33
16/06/2023;4164.66
17/06/2023;4145.72
18/06/2023;4145.72
19/06/2023;4145.72
20/06/2023;4145.72
21/06/2023;4149.18
22/06/2023;4158.21
23/06/2023;4114.39
24/06/2023;4168.88
25/06/2023;4168.88
26/06/2023;4168.88
27/06/2023;4172.33
28/06/2023;4152.48
29/06/2023;4169.6
30/06/2023;4191.28
1/07/2023;4177.58
2/07/2023;4177.58
3/07/2023;4177.58
4/07/2023;4177.58
5/07/2023;4177.58
6/07/2023;4128.08
7/07/2023;4195.93
8/07/2023;4189.96
9/07/2023;4189.96
10/07/2023;4189.96
11/07/2023;4154.06
12/07/2023;4193.59
13/07/2023;4128.67
14/07/2023;4102.13
15/07/2023;4089.3
16/07/2023;4089.3
17/07/2023;4089.3
18/07/2023;4069.39
19/07/2023;3991.15
20/07/2023;3980.2
21/07/2023;3980.2
22/07/2023;3971.38
23/07/2023;3971.38
24/07/2023;3971.38
25/07/2023;3950.58
26/07/2023;3978.83
27/07/2023;3951.1
28/07/2023;3932.04
29/07/2023;3923.49
30/07/2023;3923.49
31/07/2023;3923.49
1/08/2023;3898.48
2/08/2023;4007.44
3/08/2023;4056.99
4/08/2023;4144.79
5/08/2023;4077.9
6/08/2023;4077.9
7/08/2023;4077.9
8/08/2023;4077.9
9/08/2023;4076.46
10/08/2023;4031.65
11/08/2023;3955.23
12/08/2023;3973.41
13/08/2023;3973.41
14/08/2023;3973.41
15/08/2023;4029.95
16/08/2023;4096.08
17/08/2023;4130.33
18/08/2023;4093.96
19/08/2023;4124.04
20/08/2023;4124.04
21/08/2023;4124.04
22/08/2023;4124.04
23/08/2023;4120.07
24/08/2023;4085.89
25/08/2023;4076.9
26/08/2023;4117.78
27/08/2023;4117.78
28/08/2023;4117.78
29/08/2023;4111.52
30/08/2023;4110.08
31/08/2023;4085.33
1/09/2023;4099.2
2/09/2023;4063.36
3/09/2023;4063.36
4/09/2023;4063.36
5/09/2023;4063.36
6/09/2023;4089.46
7/09/2023;4093.04
8/09/2023;4045.83
9/09/2023;4012.26
10/09/2023;4012.26
11/09/2023;4012.26
12/09/2023;3997.74
13/09/2023;3993.53
14/09/2023;3950.92
15/09/2023;3926.59
16/09/2023;3928.28
17/09/2023;3928.28
18/09/2023;3928.28
19/09/2023;3905.95
20/09/2023;3902.54
21/09/2023;3907.21
22/09/2023;3948.25
23/09/2023;3948.7
24/09/2023;3948.7
25/09/2023;3948.7
26/09/2023;4052.54
27/09/2023;4068.73
28/09/2023;4093.6
29/09/2023;4085.57
30/09/2023;4053.76
1/10/2023;4053.76
2/10/2023;4053.76
3/10/2023;4141.43
4/10/2023;4187.01
5/10/2023;4252.09
6/10/2023;4359.4
7/10/2023;4386.66
8/10/2023;4386.66
9/10/2023;4386.66
10/10/2023;4386.66
11/10/2023;4231.97
12/10/2023;4212.5
13/10/2023;4230.61
14/10/2023;4249
15/10/2023;4249
16/10/2023;4249
17/10/2023;4249
18/10/2023;4222.09
19/10/2023;4227.39
20/10/2023;4249.71
21/10/2023;4238.85
22/10/2023;4238.85
23/10/2023;4238.85
24/10/2023;4221.39
